"","total_cases","weekdate"
"1",4,1990-05-05
"2",5,1990-05-12
"3",4,1990-05-19
"4",3,1990-05-26
"5",6,1990-06-02
"6",2,1990-06-09
"7",4,1990-06-16
"8",5,1990-06-23
"9",10,1990-06-30
"10",6,1990-07-07
"11",8,1990-07-14
"12",2,1990-07-21
"13",6,1990-07-28
"14",17,1990-08-04
"15",23,1990-08-11
"16",13,1990-08-18
"17",21,1990-08-25
"18",28,1990-09-01
"19",24,1990-09-08
"20",20,1990-09-15
"21",40,1990-09-22
"22",27,1990-09-29
"23",42,1990-10-06
"24",33,1990-10-13
"25",43,1990-10-20
"26",37,1990-10-27
"27",57,1990-11-03
"28",71,1990-11-10
"29",44,1990-11-17
"30",56,1990-11-24
"31",53,1990-12-01
"32",52,1990-12-08
"33",47,1990-12-15
"34",26,1990-12-22
"35",27,1990-12-29
"36",21,1991-01-05
"37",21,1991-01-12
"38",26,1991-01-19
"39",34,1991-01-26
"40",37,1991-02-02
"41",17,1991-02-09
"42",19,1991-02-16
"43",25,1991-02-23
"44",18,1991-03-02
"45",21,1991-03-09
"46",17,1991-03-16
"47",17,1991-03-23
"48",16,1991-03-30
"49",16,1991-04-06
"50",15,1991-04-13
"51",23,1991-04-20
"52",16,1991-04-27
"53",17,1991-05-04
"54",12,1991-05-11
"55",17,1991-05-18
"56",10,1991-05-25
"57",15,1991-06-01
"58",19,1991-06-08
"59",21,1991-06-15
"60",14,1991-06-22
"61",18,1991-06-29
"62",13,1991-07-06
"63",14,1991-07-13
"64",18,1991-07-20
"65",23,1991-07-27
"66",25,1991-08-03
"67",62,1991-08-10
"68",60,1991-08-17
"69",76,1991-08-24
"70",66,1991-08-31
"71",64,1991-09-07
"72",68,1991-09-14
"73",89,1991-09-21
"74",92,1991-09-28
"75",140,1991-10-05
"76",116,1991-10-12
"77",142,1991-10-19
"78",129,1991-10-26
"79",140,1991-11-02
"80",140,1991-11-09
"81",127,1991-11-16
"82",129,1991-11-23
"83",169,1991-11-30
"84",141,1991-12-07
"85",108,1991-12-14
"86",78,1991-12-21
"87",70,1991-12-28
"88",81,1992-01-04
"89",104,1992-01-11
"90",90,1992-01-18
"91",85,1992-01-25
"92",55,1992-02-01
"93",53,1992-02-08
"94",65,1992-02-15
"95",33,1992-02-22
"96",38,1992-02-29
"97",59,1992-03-07
"98",40,1992-03-14
"99",37,1992-03-21
"100",29,1992-03-28
"101",30,1992-04-04
"102",30,1992-04-11
"103",28,1992-04-18
"104",23,1992-04-25
"105",24,1992-05-02
"106",29,1992-05-09
"107",26,1992-05-16
"108",23,1992-05-23
"109",20,1992-05-30
"110",19,1992-06-06
"111",20,1992-06-13
"112",26,1992-06-20
"113",29,1992-06-27
"114",31,1992-07-04
"115",28,1992-07-11
"116",26,1992-07-18
"117",32,1992-07-25
"118",35,1992-08-01
"119",33,1992-08-08
"120",30,1992-08-15
"121",52,1992-08-22
"122",59,1992-08-29
"123",67,1992-09-05
"124",65,1992-09-12
"125",74,1992-09-19
"126",70,1992-09-26
"127",61,1992-10-03
"128",53,1992-10-10
"129",76,1992-10-17
"130",61,1992-10-24
"131",57,1992-10-31
"132",44,1992-11-07
"133",34,1992-11-14
"134",47,1992-11-21
"135",60,1992-11-28
"136",60,1992-12-05
"137",53,1992-12-12
"138",36,1992-12-19
"139",31,1992-12-26
"140",30,1993-01-02
"141",32,1993-01-09
"142",28,1993-01-16
"143",33,1993-01-23
"144",33,1993-01-30
"145",35,1993-02-06
"146",22,1993-02-13
"147",13,1993-02-20
"148",13,1993-02-27
"149",21,1993-03-06
"150",17,1993-03-13
"151",11,1993-03-20
"152",8,1993-03-27
"153",8,1993-04-03
"154",6,1993-04-10
"155",6,1993-04-17
"156",7,1993-04-24
"157",12,1993-05-01
"158",17,1993-05-08
"159",10,1993-05-15
"160",10,1993-05-22
"161",18,1993-05-29
"162",19,1993-06-05
"163",12,1993-06-12
"164",22,1993-06-19
"165",12,1993-06-26
"166",21,1993-07-03
"167",18,1993-07-10
"168",16,1993-07-17
"169",16,1993-07-24
"170",22,1993-07-31
"171",17,1993-08-07
"172",25,1993-08-14
"173",23,1993-08-21
"174",12,1993-08-28
"175",25,1993-09-04
"176",28,1993-09-11
"177",27,1993-09-18
"178",18,1993-09-25
"179",23,1993-10-02
"180",23,1993-10-09
"181",29,1993-10-16
"182",38,1993-10-23
"183",36,1993-10-30
"184",43,1993-11-06
"185",46,1993-11-13
"186",31,1993-11-20
"187",25,1993-11-27
"188",40,1993-12-04
"189",31,1993-12-11
"190",38,1993-12-18
"191",30,1993-12-25
"192",22,1994-01-01
"193",31,1994-01-08
"194",26,1994-01-15
"195",35,1994-01-22
"196",36,1994-01-29
"197",39,1994-02-05
"198",25,1994-02-12
"199",31,1994-02-19
"200",37,1994-02-26
"201",33,1994-03-05
"202",25,1994-03-12
"203",24,1994-03-19
"204",18,1994-03-26
"205",23,1994-04-02
"206",13,1994-04-09
"207",18,1994-04-16
"208",14,1994-04-23
"209",17,1994-04-30
"210",22,1994-05-07
"211",13,1994-05-14
"212",24,1994-05-21
"213",31,1994-05-28
"214",34,1994-06-04
"215",31,1994-06-11
"216",31,1994-06-18
"217",38,1994-06-25
"218",49,1994-07-02
"219",42,1994-07-09
"220",49,1994-07-16
"221",55,1994-07-23
"222",80,1994-07-30
"223",84,1994-08-06
"224",72,1994-08-13
"225",89,1994-08-20
"226",115,1994-08-27
"227",179,1994-09-03
"228",202,1994-09-10
"229",272,1994-09-17
"230",302,1994-09-24
"231",395,1994-10-01
"232",426,1994-10-08
"233",461,1994-10-15
"234",381,1994-10-22
"235",333,1994-10-29
"236",353,1994-11-05
"237",410,1994-11-12
"238",364,1994-11-19
"239",359,1994-11-26
"240",288,1994-12-03
"241",221,1994-12-10
"242",149,1994-12-17
"243",112,1994-12-24
"244",154,1995-01-07
"245",91,1995-01-14
"246",72,1995-01-21
"247",56,1995-01-28
"248",46,1995-02-04
"249",37,1995-02-11
"250",26,1995-02-18
"251",17,1995-02-25
"252",17,1995-03-04
"253",20,1995-03-11
"254",11,1995-03-18
"255",7,1995-03-25
"256",16,1995-04-01
"257",14,1995-04-08
"258",16,1995-04-15
"259",5,1995-04-22
"260",2,1995-04-29
"261",6,1995-05-06
"262",5,1995-05-13
"263",4,1995-05-20
"264",3,1995-05-27
"265",4,1995-06-03
"266",16,1995-06-10
"267",8,1995-06-17
"268",7,1995-06-24
"269",10,1995-07-01
"270",14,1995-07-08
"271",7,1995-07-15
"272",9,1995-07-22
"273",11,1995-07-29
"274",23,1995-08-05
"275",17,1995-08-12
"276",19,1995-08-19
"277",24,1995-08-26
"278",17,1995-09-02
"279",28,1995-09-09
"280",40,1995-09-16
"281",33,1995-09-23
"282",31,1995-09-30
"283",33,1995-10-07
"284",29,1995-10-14
"285",30,1995-10-21
"286",36,1995-10-28
"287",48,1995-11-04
"288",40,1995-11-11
"289",28,1995-11-18
"290",36,1995-11-25
"291",19,1995-12-02
"292",34,1995-12-09
"293",23,1995-12-16
"294",17,1995-12-23
"295",17,1995-12-30
"296",23,1996-01-06
"297",14,1996-01-13
"298",20,1996-01-20
"299",13,1996-01-27
"300",23,1996-02-03
"301",20,1996-02-10
"302",16,1996-02-17
"303",16,1996-02-24
"304",23,1996-03-02
"305",14,1996-03-09
"306",15,1996-03-16
"307",4,1996-03-23
"308",5,1996-03-30
"309",5,1996-04-06
"310",11,1996-04-13
"311",11,1996-04-20
"312",7,1996-04-27
"313",4,1996-05-04
"314",6,1996-05-11
"315",5,1996-05-18
"316",2,1996-05-25
"317",4,1996-06-01
"318",2,1996-06-08
"319",4,1996-06-15
"320",6,1996-06-22
"321",6,1996-06-29
"322",4,1996-07-06
"323",6,1996-07-13
"324",11,1996-07-20
"325",16,1996-07-27
"326",9,1996-08-03
"327",12,1996-08-10
"328",13,1996-08-17
"329",27,1996-08-24
"330",21,1996-08-31
"331",19,1996-09-07
"332",17,1996-09-14
"333",24,1996-09-21
"334",27,1996-09-28
"335",30,1996-10-05
"336",29,1996-10-12
"337",25,1996-10-19
"338",35,1996-10-26
"339",33,1996-11-02
"340",30,1996-11-09
"341",29,1996-11-16
"342",31,1996-11-23
"343",29,1996-11-30
"344",22,1996-12-07
"345",27,1996-12-14
"346",24,1996-12-21
"347",26,1996-12-28
"348",29,1997-01-04
"349",22,1997-01-11
"350",33,1997-01-18
"351",24,1997-01-25
"352",30,1997-02-01
"353",20,1997-02-08
"354",17,1997-02-15
"355",24,1997-02-22
"356",28,1997-03-01
"357",18,1997-03-08
"358",13,1997-03-15
"359",9,1997-03-22
"360",14,1997-03-29
"361",11,1997-04-05
