conf_cases,weekdate,week,year
0,1/1/1986,1,1986
1,1/8/1986,2,1986
1,1/15/1986,3,1986
0,1/22/1986,4,1986
0,1/29/1986,5,1986
0,2/5/1986,6,1986
0,2/12/1986,7,1986
0,2/19/1986,8,1986
0,2/26/1986,9,1986
0,3/5/1986,10,1986
1,3/12/1986,11,1986
0,3/19/1986,12,1986
0,3/26/1986,13,1986
1,4/2/1986,14,1986
0,4/9/1986,15,1986
0,4/16/1986,16,1986
0,4/23/1986,17,1986
0,4/30/1986,18,1986
1,5/7/1986,19,1986
1,5/14/1986,20,1986
0,5/21/1986,21,1986
0,5/28/1986,22,1986
0,6/4/1986,23,1986
0,6/11/1986,24,1986
1,6/18/1986,25,1986
1,6/25/1986,26,1986
3,7/2/1986,27,1986
2,7/9/1986,28,1986
2,7/16/1986,29,1986
1,7/23/1986,30,1986
1,7/30/1986,31,1986
2,8/6/1986,32,1986
1,8/13/1986,33,1986
4,8/20/1986,34,1986
5,8/27/1986,35,1986
11,9/3/1986,36,1986
17,9/10/1986,37,1986
16,9/17/1986,38,1986
8,9/24/1986,39,1986
8,10/1/1986,40,1986
18,10/8/1986,41,1986
12,10/15/1986,42,1986
1,10/22/1986,43,1986
0,10/29/1986,44,1986
0,11/5/1986,45,1986
0,11/12/1986,46,1986
2,11/19/1986,47,1986
2,11/26/1986,48,1986
3,12/3/1986,49,1986
4,12/10/1986,50,1986
1,12/17/1986,51,1986
0,12/24/1986,52,1986
5,1/1/1987,1,1987
7,1/8/1987,2,1987
14,1/15/1987,3,1987
12,1/22/1987,4,1987
3,1/29/1987,5,1987
9,2/5/1987,6,1987
8,2/12/1987,7,1987
3,2/19/1987,8,1987
5,2/26/1987,9,1987
7,3/5/1987,10,1987
2,3/12/1987,11,1987
2,3/19/1987,12,1987
1,3/26/1987,13,1987
7,4/2/1987,14,1987
3,4/9/1987,15,1987
0,4/16/1987,16,1987
0,4/23/1987,17,1987
1,4/30/1987,18,1987
4,5/7/1987,19,1987
1,5/14/1987,20,1987
3,5/21/1987,21,1987
3,5/28/1987,22,1987
3,6/4/1987,23,1987
3,6/11/1987,24,1987
4,6/18/1987,25,1987
