"conf_cases","weekdate","week","year"
0,1986-01-01,1,1986
1,1986-01-08,2,1986
1,1986-01-15,3,1986
0,1986-01-22,4,1986
0,1986-01-29,5,1986
0,1986-02-05,6,1986
0,1986-02-12,7,1986
0,1986-02-19,8,1986
0,1986-02-26,9,1986
0,1986-03-05,10,1986
1,1986-03-12,11,1986
0,1986-03-19,12,1986
0,1986-03-26,13,1986
1,1986-04-02,14,1986
0,1986-04-09,15,1986
0,1986-04-16,16,1986
0,1986-04-23,17,1986
0,1986-04-30,18,1986
1,1986-05-07,19,1986
1,1986-05-14,20,1986
0,1986-05-21,21,1986
0,1986-05-28,22,1986
0,1986-06-04,23,1986
0,1986-06-11,24,1986
1,1986-06-18,25,1986
1,1986-06-25,26,1986
3,1986-07-02,27,1986
2,1986-07-09,28,1986
2,1986-07-16,29,1986
1,1986-07-23,30,1986
1,1986-07-30,31,1986
2,1986-08-06,32,1986
1,1986-08-13,33,1986
4,1986-08-20,34,1986
5,1986-08-27,35,1986
11,1986-09-03,36,1986
17,1986-09-10,37,1986
16,1986-09-17,38,1986
8,1986-09-24,39,1986
8,1986-10-01,40,1986
18,1986-10-08,41,1986
12,1986-10-15,42,1986
1,1986-10-22,43,1986
0,1986-10-29,44,1986
0,1986-11-05,45,1986
0,1986-11-12,46,1986
2,1986-11-19,47,1986
2,1986-11-26,48,1986
3,1986-12-03,49,1986
4,1986-12-10,50,1986
1,1986-12-17,51,1986
0,1986-12-24,52,1986
5,1987-01-01,1,1987
7,1987-01-08,2,1987
14,1987-01-15,3,1987
12,1987-01-22,4,1987
3,1987-01-29,5,1987
9,1987-02-05,6,1987
8,1987-02-12,7,1987
3,1987-02-19,8,1987
5,1987-02-26,9,1987
7,1987-03-05,10,1987
2,1987-03-12,11,1987
2,1987-03-19,12,1987
1,1987-03-26,13,1987
7,1987-04-02,14,1987
3,1987-04-09,15,1987
0,1987-04-16,16,1987
0,1987-04-23,17,1987
1,1987-04-30,18,1987
4,1987-05-07,19,1987
1,1987-05-14,20,1987
3,1987-05-21,21,1987
3,1987-05-28,22,1987
3,1987-06-04,23,1987
3,1987-06-11,24,1987
4,1987-06-18,25,1987
6,1987-06-25,26,1987
11,1987-07-02,27,1987
10,1987-07-09,28,1987
8,1987-07-16,29,1987
10,1987-07-23,30,1987
17,1987-07-30,31,1987
13,1987-08-06,32,1987
14,1987-08-13,33,1987
6,1987-08-20,34,1987
10,1987-08-27,35,1987
4,1987-09-03,36,1987
4,1987-09-10,37,1987
3,1987-09-17,38,1987
2,1987-09-24,39,1987
2,1987-10-01,40,1987
2,1987-10-08,41,1987
4,1987-10-15,42,1987
4,1987-10-22,43,1987
2,1987-10-29,44,1987
2,1987-11-05,45,1987
2,1987-11-12,46,1987
1,1987-11-19,47,1987
1,1987-11-26,48,1987
2,1987-12-03,49,1987
1,1987-12-10,50,1987
1,1987-12-17,51,1987
2,1987-12-24,52,1987
2,1988-01-01,1,1988
4,1988-01-08,2,1988
1,1988-01-15,3,1988
3,1988-01-22,4,1988
2,1988-01-29,5,1988
2,1988-02-05,6,1988
2,1988-02-12,7,1988
1,1988-02-19,8,1988
3,1988-02-26,9,1988
2,1988-03-04,10,1988
2,1988-03-11,11,1988
5,1988-03-18,12,1988
3,1988-03-25,13,1988
3,1988-04-01,14,1988
3,1988-04-08,15,1988
4,1988-04-15,16,1988
4,1988-04-22,17,1988
6,1988-04-29,18,1988
14,1988-05-06,19,1988
13,1988-05-13,20,1988
10,1988-05-20,21,1988
9,1988-05-27,22,1988
12,1988-06-03,23,1988
10,1988-06-10,24,1988
4,1988-06-17,25,1988
6,1988-06-24,26,1988
7,1988-07-01,27,1988
6,1988-07-08,28,1988
14,1988-07-15,29,1988
17,1988-07-22,30,1988
15,1988-07-29,31,1988
14,1988-08-05,32,1988
29,1988-08-12,33,1988
18,1988-08-19,34,1988
24,1988-08-26,35,1988
23,1988-09-02,36,1988
73,1988-09-09,37,1988
57,1988-09-16,38,1988
44,1988-09-23,39,1988
60,1988-09-30,40,1988
58,1988-10-07,41,1988
74,1988-10-14,42,1988
63,1988-10-21,43,1988
72,1988-10-28,44,1988
74,1988-11-04,45,1988
74,1988-11-11,46,1988
79,1988-11-18,47,1988
76,1988-11-25,48,1988
64,1988-12-02,49,1988
56,1988-12-09,50,1988
34,1988-12-16,51,1988
27,1988-12-23,52,1988
23,1989-01-01,1,1989
18,1989-01-08,2,1989
18,1989-01-15,3,1989
21,1989-01-22,4,1989
20,1989-01-29,5,1989
12,1989-02-05,6,1989
15,1989-02-12,7,1989
11,1989-02-19,8,1989
11,1989-02-26,9,1989
8,1989-03-05,10,1989
8,1989-03-12,11,1989
3,1989-03-19,12,1989
4,1989-03-26,13,1989
6,1989-04-02,14,1989
6,1989-04-09,15,1989
8,1989-04-16,16,1989
7,1989-04-23,17,1989
8,1989-04-30,18,1989
4,1989-05-07,19,1989
7,1989-05-14,20,1989
6,1989-05-21,21,1989
6,1989-05-28,22,1989
11,1989-06-04,23,1989
9,1989-06-11,24,1989
6,1989-06-18,25,1989
8,1989-06-25,26,1989
14,1989-07-02,27,1989
11,1989-07-09,28,1989
6,1989-07-16,29,1989
6,1989-07-23,30,1989
27,1989-07-30,31,1989
32,1989-08-06,32,1989
44,1989-08-13,33,1989
44,1989-08-20,34,1989
54,1989-08-27,35,1989
71,1989-09-03,36,1989
59,1989-09-10,37,1989
36,1989-09-17,38,1989
60,1989-09-24,39,1989
63,1989-10-01,40,1989
77,1989-10-08,41,1989
116,1989-10-15,42,1989
91,1989-10-22,43,1989
87,1989-10-29,44,1989
79,1989-11-05,45,1989
86,1989-11-12,46,1989
86,1989-11-19,47,1989
105,1989-11-26,48,1989
120,1989-12-03,49,1989
95,1989-12-10,50,1989
59,1989-12-17,51,1989
55,1989-12-24,52,1989
58,1990-01-01,1,1990
45,1990-01-08,2,1990
48,1990-01-15,3,1990
43,1990-01-22,4,1990
36,1990-01-29,5,1990
33,1990-02-05,6,1990
20,1990-02-12,7,1990
15,1990-02-19,8,1990
18,1990-02-26,9,1990
13,1990-03-05,10,1990
19,1990-03-12,11,1990
21,1990-03-19,12,1990
13,1990-03-26,13,1990
19,1990-04-02,14,1990
3,1990-04-09,15,1990
9,1990-04-16,16,1990
1,1990-04-23,17,1990
5,1990-04-30,18,1990
5,1990-05-07,19,1990
5,1990-05-14,20,1990
3,1990-05-21,21,1990
7,1990-05-28,22,1990
2,1990-06-04,23,1990
4,1990-06-11,24,1990
6,1990-06-18,25,1990
12,1990-06-25,26,1990
5,1990-07-02,27,1990
10,1990-07-09,28,1990
5,1990-07-16,29,1990
8,1990-07-23,30,1990
21,1990-07-30,31,1990
41,1990-08-06,32,1990
43,1990-08-13,33,1990
47,1990-08-20,34,1990
46,1990-08-27,35,1990
50,1990-09-03,36,1990
55,1990-09-10,37,1990
69,1990-09-17,38,1990
56,1990-09-24,39,1990
69,1990-10-01,40,1990
70,1990-10-08,41,1990
83,1990-10-15,42,1990
71,1990-10-22,43,1990
91,1990-10-29,44,1990
135,1990-11-05,45,1990
84,1990-11-12,46,1990
91,1990-11-19,47,1990
100,1990-11-26,48,1990
96,1990-12-03,49,1990
64,1990-12-10,50,1990
53,1990-12-17,51,1990
42,1990-12-24,52,1990
34,1991-01-01,1,1991
38,1991-01-08,2,1991
42,1991-01-15,3,1991
34,1991-01-22,4,1991
44,1991-01-29,5,1991
24,1991-02-05,6,1991
21,1991-02-12,7,1991
25,1991-02-19,8,1991
20,1991-02-26,9,1991
22,1991-03-05,10,1991
23,1991-03-12,11,1991
19,1991-03-19,12,1991
21,1991-03-26,13,1991
20,1991-04-02,14,1991
15,1991-04-09,15,1991
26,1991-04-16,16,1991
16,1991-04-23,17,1991
19,1991-04-30,18,1991
15,1991-05-07,19,1991
17,1991-05-14,20,1991
14,1991-05-21,21,1991
17,1991-05-28,22,1991
22,1991-06-04,23,1991
22,1991-06-11,24,1991
16,1991-06-18,25,1991
18,1991-06-25,26,1991
20,1991-07-02,27,1991
18,1991-07-09,28,1991
22,1991-07-16,29,1991
25,1991-07-23,30,1991
34,1991-07-30,31,1991
68,1991-08-06,32,1991
73,1991-08-13,33,1991
86,1991-08-20,34,1991
82,1991-08-27,35,1991
80,1991-09-03,36,1991
80,1991-09-10,37,1991
109,1991-09-17,38,1991
119,1991-09-24,39,1991
172,1991-10-01,40,1991
137,1991-10-08,41,1991
178,1991-10-15,42,1991
164,1991-10-22,43,1991
172,1991-10-29,44,1991
179,1991-11-05,45,1991
160,1991-11-12,46,1991
172,1991-11-19,47,1991
203,1991-11-26,48,1991
183,1991-12-03,49,1991
130,1991-12-10,50,1991
88,1991-12-17,51,1991
80,1991-12-24,52,1991
74,1992-01-01,1,1992
